Name,Dates,Prices,Link
MSI NVIDIA GeForce GTX 1050Ti 4GT LP 4GB GDDR5 Low Profile Graphics Card,2022-03-21 00:00:00,269.0,https://www.ebay.com/itm/284622522714?epid=22025879252&hash=item4244d3095a:g:24IAAOSw-QZh7rFs
ASUS GeForce GTX 1050Ti 4GB,2022-03-21 00:00:00,138.5,https://www.ebay.com/itm/275216658456?hash=item401430f018:g:oLsAAOSw2YxiMqCj
GIGABYTE NVIDIA GeForce GTX 1050 TI 4GB GDDR5 Graphics Card (GVN105TOC4GL),2022-03-21 00:00:00,75.0,https://www.ebay.com/itm/175210161001?epid=11030515113&hash=item28cb56e369:g:YfIAAOSwF4RiOTS-
GIGABYTE GV-N105TWF2OC-4GD GEFORCE GTX 1050 TI  4GB GDDR5 Graphics card #75290#,2022-03-21 00:00:00,150.0,https://www.ebay.com/itm/265606879681?hash=item3dd76759c1:g:x7gAAOSwTSJiOM6K
Asus GeForce GTX 1050 Ti 4GB Phoenix Fan Edition PH-GTX1050TI-4G Graphic Card ,2022-03-21 00:00:00,127.5,https://www.ebay.com/itm/304398022554?epid=28031984310&hash=item46df89379a:g:k4IAAOSwA81iL-1S
msi GTX1050ti 4G Graphics Card used,2022-03-21 00:00:00,236.9,https://www.ebay.com/itm/403273372108?epid=10021692240&hash=item5de4f751cc:g:dT8AAOSwjzBhghho
NVIDIA GEFOCE GTX 1050Ti  4GB  Video Graphics Card,2022-03-21 00:00:00,220.42,https://www.ebay.com/itm/403281579217?epid=14026724690&hash=item5de5748cd1:g:wQoAAOSwYcVhh21d
MSI GeForce 4GB (GTX 1050 TI GAMING X 4G) Graphics Card,2022-03-21 00:00:00,187.5,https://www.ebay.com/itm/304396246409?hash=item46df6e1d89:g:91AAAOSwNcxh4Zca
 MSI GeForce GTX1050TI 4G LP,2022-03-21 00:00:00,232.8,https://www.ebay.com/itm/403235755261?epid=20032166712&hash=item5de2b954fd:g:FBsAAOSw-i5ha0bK
 GeForce  ASUS PH-GTX1050TI-4G Graphics Card,2022-03-21 00:00:00,266.77,https://www.ebay.com/itm/403122078684?epid=28031984310&hash=item5ddbf2c3dc:g:d1EAAOSwEAphLzXD
MSI GeForce GTX 1050 Ti 4GB Low Profile (PCI Express 3.0 Graphics Card),2022-03-21 00:00:00,269.99,https://www.ebay.com/itm/325105062360?epid=2305807244&hash=item4bb1c591d8:g:EeQAAOSwvyJiMotu
"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-21 00:00:00,169.88,https://www.ebay.com/itm/125202474455?epid=20003297363&hash=item1d26a625d7:g:uW4AAOSwlpdh-~9F
Asus PH-GTX1050TI-4G GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card,2022-03-21 00:00:00,230.47,https://www.ebay.com/itm/334356657489?epid=28031984310&hash=item4dd935b551:g:qTwAAOSwcapcSzj1
"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-21 00:00:00,142.5,https://www.ebay.com/itm/384787578854?epid=20003297363&hash=item5997207fe6:g:7F0AAOSwgP9iK5TJ
ASUS GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card (PHGTX1050TI4G). NO RESERVE!!!!,2022-03-21 00:00:00,134.88,https://www.ebay.com/itm/284702831805?epid=18036427347&hash=item42499c74bd:g:rFAAAOSwMMJiL6My
MSI GeForce 4GB (GTX 1050 TI GAMING X 4G) Graphics Card,2022-03-21 00:00:00,187.5,https://www.ebay.com/itm/194914721614?epid=10021692240&hash=item2d61d29f4e:g:JqIAAOSwyR9iCup6
MSI GeForce GTX 1050 Ti 4GT LP 4GB GDDR5 PCI Express 3.0 x16 Video Graphics Card,2022-03-21 00:00:00,204.99,https://www.ebay.com/itm/384785657231?hash=item5997032d8f:g:2eEAAOSw8KRiM137
DELL GEFORCE GTX 1050TI 4GB GDDR5 GRAPHICS CARD CN-0DVP9W 0DVP9W DVP9W ,2022-03-21 00:00:00,125.0,https://www.ebay.com/itm/165393760123?hash=item26823c7f7b:g:UMIAAOSwm-9iN9YT
EVGA GeForce GTX 1050 Ti SSC GAMING ACX 3.0 04G-P4-6255-KR 4GB GDDR5,2022-03-21 00:00:00,149.0,https://www.ebay.com/itm/265605146690?hash=item3dd74ce842:g:IykAAOSwzmViN2p2
